Neighbourhood,Neighbourhood ID,Latitude,Longitude
Wychwood,94,43.6769192679,-79.425514947
Yonge-Eglinton,100,43.704689367700006,-79.4035901675
Yonge-St.Clair,97,43.687858872,-79.3978707687
York University Heights,27,43.765736490900004,-79.4888829298
Yorkdale-Glen Park,31,43.714671529300006,-79.4571080738
Lambton Baby Point,114,43.6574201304,-79.4960452553
Lansing-Westgate,38,43.754271154899996,-79.4247477215
Lawrence Park North,105,43.73006017229999,-79.40397836359999
Lawrence Park South,103,43.71721170479999,-79.40603941020001
Leaside-Bennington,56,43.7037966281,-79.3660723439
Little Portugal,84,43.6475359304,-79.4303227131
Long Branch,19,43.592361688500006,-79.5333454492
Malvern,132,43.8036581967,-79.22251661899999
Maple Leaf,29,43.7155739408,-79.48075801739999
Markland Wood,12,43.6335417462,-79.57343154739999
Milliken,130,43.8206907942,-79.2750089244
Mimico (includes Humber Bay Shores),17,43.615923861300004,-79.5001366364
Morningside,135,43.782398614499996,-79.2070411878
Moss Park,73,43.6565176231,-79.3672970317
Mount Dennis,115,43.6881440868,-79.4999890581
Mount Olive-Silverstone-Jamestown,2,43.7468678027,-79.58725926460001
Mount Pleasant East,99,43.7048521692,-79.3849239458
Mount Pleasant West,104,43.70443517060001,-79.393359554
New Toronto,18,43.6005885981,-79.5103580889
Newtonbrook East,50,43.791535791,-79.4059374472
Newtonbrook West,36,43.7858299384,-79.4314215112
Niagara,82,43.6366808791,-79.412420401
North Riverdale,68,43.671995149,-79.3512604136
North St.James Town,74,43.6696234081,-79.3752465775
O'Connor-Parkview,54,43.7068004906,-79.3122277655
Oakridge,121,43.6974081338,-79.2797083433
Oakwood Village,107,43.6885655593,-79.4397854793
Old East York,58,43.696781271199995,-79.3354883594
Palmerston-Little Italy,80,43.6591571037,-79.41840872739999
Parkwoods-Donalda,45,43.755033474499996,-79.3301795171
Pelmo Park-Humberlea,23,43.7175146009,-79.52828220239999
Playter Estates-Danforth,67,43.6797004697,-79.3548872857
Pleasant View,46,43.786981759,-79.33494842520001
Princess-Rosethorn,10,43.666050604300004,-79.5445592919
Regent Park,72,43.659992142200004,-79.3605088051
Rexdale-Kipling,4,43.723725477200006,-79.5662284127
Rockcliffe-Smythe,111,43.6747904521,-79.4944204513
Roncesvalles,86,43.646122994399995,-79.4429924472
Rosedale-Moore Park,98,43.682820425299994,-79.3796694025
Rouge,131,43.8212012569,-79.1863434458
Runnymede-Bloor West Village,89,43.6592688193,-79.485708182
Rustic,28,43.7116091166,-79.4980914696
Scarborough Village,139,43.7386518596,-79.216812619
South Parkdale,85,43.6366995242,-79.43933783119999
South Riverdale,70,43.649292063500006,-79.335651321
St.Andrew-Windfields,40,43.7562458348,-79.37903708649999
Steeles,116,43.812958825900004,-79.3212070061
Stonegate-Queensway,16,43.635518132899996,-79.50112821329999
Tam O'Shanter-Sullivan,118,43.7801298547,-79.3029187122
Taylor-Massey,61,43.6949981893,-79.2959011188
The Beaches,63,43.671049993100006,-79.2996013043
Thistletown-Beaumond Heights,3,43.737987917299996,-79.56349101720001
Thorncliffe Park,55,43.707749211899994,-79.3499836075
Trinity-Bellwoods,81,43.6501763,-79.4153421634
University,79,43.6625062026,-79.401179748
Victoria Village,43,43.728489019399994,-79.31487382649999
